population,lr,depth,reg,RMSE
6,0.1645,6,0.9252,45.7109
6,0.1645,6,0.9225,45.258
6,0.1632,6,0.8627,45.88
6,0.1632,6,0.8627,45.88
6,0.164,6,0.9016,45.7352
6,0.1641,6,0.8942,45.7333
6,0.163,6,0.8663,45.7378
6,0.1646,6,0.9266,45.7109
6,0.164,6,0.895,45.7941
6,0.1644,6,0.9058,45.9711
6,0.1645,6,0.9197,45.9403
6,0.1646,6,0.9204,45.9403
6,0.1634,6,0.882,45.9535
6,0.1645,6,0.9223,45.258
6,0.1636,6,0.8861,45.9527
6,0.1642,6,0.894,45.7333
6,0.1634,6,0.8766,45.9517
6,0.1636,6,0.8883,45.9534
6,0.1645,6,0.9201,45.9403
6,0.1635,6,0.8881,45.9545
6,0.1636,6,0.8852,45.7392
6,0.1641,6,0.8955,45.7935
6,0.1641,6,0.901,45.7351
6,0.1636,6,0.8866,45.9535
6,0.1639,6,0.8862,45.7379
6,0.1636,6,0.8883,45.9536
6,0.1641,6,0.8926,45.7917
6,0.1645,6,0.9207,45.9404
6,0.1624,6,0.8273,45.942
6,0.1642,6,0.894,45.7333
6,0.164,6,0.8915,45.7924
6,0.1634,6,0.8813,45.9535
6,0.1634,6,0.8813,45.9534
6,0.1646,6,0.9265,45.2579
6,0.1636,6,0.869,45.8394
6,0.1635,6,0.8883,45.9547
6,0.1644,6,0.9029,45.9706
6,0.1642,6,0.8917,45.7912
6,0.1638,6,0.8912,45.9533
6,0.1634,6,0.8849,45.9543
6,0.1635,6,0.8759,45.7377
6,0.1637,6,0.8799,45.8768
6,0.1645,6,0.9246,45.7109
6,0.1638,6,0.8865,45.7388
6,0.1633,6,0.8786,45.0489
6,0.164,6,0.8986,45.7961
6,0.1633,6,0.8746,45.7386
6,0.164,6,0.898,45.7958
6,0.1646,6,0.9224,45.258
6,0.1645,6,0.9225,45.7109
6,0.1646,6,0.9225,45.9404
6,0.1645,6,0.9237,45.7109
6,0.164,6,0.8908,45.793
6,0.1646,6,0.9253,45.2579
6,0.164,6,0.9037,45.7358
6,0.1646,6,0.9225,45.258
6,0.164,6,0.8842,45.7904
6,0.1645,6,0.9225,45.7109
6,0.1646,6,0.921,45.9404
6,0.1646,6,0.9255,45.2579
6,0.1645,6,0.9241,45.2579
6,0.1646,6,0.9253,45.2579
6,0.1635,6,0.8822,45.9529
6,0.1635,6,0.888,45.9546
6,0.1639,6,0.8816,45.7902
6,0.164,6,0.8891,45.7924
6,0.1645,6,0.9257,45.7109
6,0.1646,6,0.9225,45.258
6,0.163,6,0.8637,45.7371
6,0.164,6,0.9037,45.7358
6,0.1641,6,0.8891,45.7911
6,0.164,6,0.8916,45.7924
7,0.1633,6,0.8782,45.0488
7,0.1633,6,0.8776,45.0487
7,0.1633,6,0.8777,45.0487
7,0.1633,6,0.8804,45.358
7,0.1633,6,0.8773,45.0486
7,0.1633,6,0.8766,45.0486
7,0.1633,6,0.8759,45.0484
7,0.1633,6,0.8787,44.9999
7,0.1633,6,0.8811,45.0003
7,0.1633,6,0.8783,45.0488
7,0.1633,6,0.881,45.0003
7,0.1633,6,0.8767,45.0485
7,0.1634,6,0.8746,45.0481
7,0.1633,6,0.8787,44.9999
7,0.1633,6,0.8798,45.0
7,0.1633,6,0.8781,45.0488
7,0.1633,6,0.8791,45.3578
7,0.1633,6,0.8789,45.0488
7,0.1634,6,0.8756,45.0483
7,0.1633,6,0.8805,45.0002
7,0.1633,6,0.8804,45.0003
7,0.1633,6,0.8803,45.0002
7,0.1633,6,0.8792,45.0
7,0.1633,6,0.8753,45.0483
7,0.1633,6,0.8766,45.0485
7,0.1633,6,0.879,44.9999
7,0.1633,6,0.8803,45.358
7,0.1633,6,0.8774,45.0487
7,0.1633,6,0.8783,45.0488
7,0.1633,6,0.8796,45.0
7,0.1634,6,0.8741,45.048
7,0.1633,6,0.8798,45.0
7,0.1633,6,0.879,45.3578
7,0.1633,6,0.8768,45.0485
7,0.1633,6,0.8786,45.0489
7,0.1633,6,0.8802,45.0002
7,0.1633,6,0.8765,45.0485
7,0.1646,6,0.9233,45.258
7,0.1633,6,0.8786,45.0489
7,0.1633,6,0.8802,45.0002
7,0.1633,6,0.8773,45.0486
7,0.1633,6,0.8791,45.3578
7,0.1633,6,0.8787,45.0489
7,0.1633,6,0.8794,45.3579
7,0.1633,6,0.8774,45.0486
