population,lr,depth,reg,RMSE
5,0.1171,10,1.4258,46.0031
5,0.1367,10,2.0892,46.1943
5,0.135,10,2.0162,46.3177
5,0.1156,10,1.3383,46.2256
5,0.1524,10,3.3691,46.0357
5,0.1375,10,2.1319,46.4843
5,0.1307,10,1.447,46.0789
5,0.1472,10,3.2031,46.4056
5,0.154,10,3.3371,46.4816
5,0.1163,10,1.3882,46.2855
5,0.1575,10,3.7892,46.2894
5,0.1361,10,2.0524,45.995
5,0.1281,10,1.0497,46.4104
5,0.1167,10,1.497,46.232
5,0.1153,10,1.2695,46.1898
5,0.1191,10,1.1296,46.0685
5,0.1391,10,2.0031,46.4351
5,0.1281,10,1.7985,46.3809
5,0.1068,10,0.5568,45.6547
5,0.112,10,1.2192,46.4053
5,0.1166,10,1.3665,46.2275
5,0.1175,10,1.4433,46.3886
5,0.1171,10,1.3967,46.2268
5,0.1539,10,3.3244,46.4807
5,0.1156,10,1.2997,46.4621
5,0.1126,10,1.2782,46.3467
5,0.1159,10,1.3076,46.459
5,0.1165,10,1.3616,46.2556
5,0.1167,10,1.4792,46.3358
5,0.1164,10,1.3292,46.4563
5,0.1134,10,1.2138,46.1912
5,0.1048,10,1.0592,46.3278
5,0.1365,10,2.0893,46.1426
5,0.1051,10,1.068,46.4829
5,0.1168,10,1.5007,46.2321
5,0.1282,10,1.7979,46.3806
5,0.1289,10,1.869,46.4849
5,0.1016,10,1.0404,46.3298
5,0.1166,10,1.3678,46.228
5,0.108,10,1.5701,46.3135
5,0.1311,10,1.476,46.3772
5,0.1282,10,1.7992,46.3803
5,0.1164,10,1.3923,45.7203
5,0.1159,10,1.3372,46.22
5,0.1273,10,1.7673,46.3441
5,0.116,10,1.3385,46.2182
5,0.116,10,1.3462,46.148
5,0.1127,10,1.298,46.1499
5,0.1532,10,3.3108,46.2476
5,0.1281,10,1.8051,46.3816
5,0.1294,10,1.8741,46.4745
5,0.1274,10,1.7789,46.4591
5,0.1436,10,2.2993,46.4851
5,0.1157,10,1.3128,46.4643
6,0.1084,10,0.8275,45.8409
6,0.1164,10,1.3907,45.7206
6,0.1085,10,0.8295,45.8173
6,0.1305,10,1.3608,45.8662
6,0.1167,10,1.4025,45.7818
6,0.1085,10,0.808,45.8156
6,0.1082,10,0.8171,45.8183
6,0.1087,10,0.8353,45.8166
6,0.1069,10,0.5548,45.6548
6,0.1085,10,0.8126,45.8156
6,0.1053,10,0.5175,45.6086
6,0.1088,10,0.8212,46.0052
6,0.1067,10,0.5532,45.6555
6,0.1083,10,0.8036,45.8161
6,0.1171,10,1.4258,46.0031
6,0.1086,10,0.8185,45.8156
6,0.1083,10,0.8148,45.8173
